molecule_index,chemical_description,canonical_smiles,doi
1,Deoxyguanosine (dG),Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,https://doi.org/10.1021/acsami.9b17236; https://doi.org/10.1002/cplu.201600586; https://doi.org/10.1021/ja507506c
2,Thymidine (T),Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,https://doi.org/10.1021/acsami.9b17236
3,Uridine (U),O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,https://doi.org/10.1021/acsami.9b17236; https://doi.org/10.1021/acsami.9b02265
4,Isoguanosine (isoG),Nc1[nH]c(=O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,https://doi.org/10.1002/cplu.201600586
5,2′-deoxyisoguanosine (isoGd),Nc1[nH]c(=O)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,https://doi.org/10.1002/cplu.201600586
6,2′-deoxy-2′-fluoroisoguanosine (FisoGd),Nc1[nH]c(=O)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1F,https://doi.org/10.1002/cplu.201600586
7,Guanosine (G),Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,https://doi.org/10.1002/cplu.201600586; https://doi.org/10.1039/c1sc00729g; https://doi.org/10.1002/adma.202108300; https://doi.org/10.1039/c8fd00038g; https://doi.org/10.1021/la900746w; https://doi.org/10.1021/ja507506c
8,8-Aza-2′-deoxyisoguanosine (z8isoGd),Nc1[nH]c(=O)nc2c1nnn2[C@H]1C[C@H](O)[C@@H](CO)O1,https://doi.org/10.1002/cplu.201700156
9,8-Aza-2′-deoxyguanosine (z8Gd),Nc1nc2c(nnn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1,https://doi.org/10.1002/cplu.201700156
10,2-Amino-2′-fluoro-2′-deoxyadenosine (2-FA),Nc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3F)c2n1,https://doi.org/10.1002/adma.202108300
